cod_station,utm_x,utm_y,precip
C253,547380,4949496,0
C254,535529,4932287,0
C255,539653,4943605,0
C256,510911,5018499,1.6
C257,520118,5038367,0
C258,516097,5043110,0
C259,538217,5038466,0
C260,514203,4961808,0
C261,389764,4932725,0
C262,343178,5075812,3
C263,340864,5069401,1.2
C264,435061,4955861,0
C265,342193,5064835,0.6
C266,346042,5073407,2
C267,347089,5081287,4
C268,337727,5061120,0.6
C269,466585,4922864,0
C270,511894,5003761,0
C271,341793,4919440,0.2
C272,514956,4940241,0
C273,379312,4894654,0
C274,447480,5009461,0
C275,458123,5113049,0
C276,426445,5045652,2
C277,407466,5026023,5
C278,450752,5076235,11
C279,375704,5021638,1.4
C280,360992,4929871,1
C281,365481,4908591,0.2
C282,348294,4934502,0
C283,409921,5015808,26.6
C284,451503,5128211,0
C285,366881,4891327,8.6
C286,364567,5009893,1
C287,448135,5054747,1
C288,351790,4950356,0.2
C289,423210,5081369,0.4
C290,453196,4917300,0
C291,379371,4943428,0
C292,386141,5029706,1.6
C293,471170,5058127,0.2
C294,351091,4964711,0
C295,436589,4904264,0
C296,444192,4904195,0
C297,506175,4935957,0
C298,409472,4885763,0
C299,432952,4906183,0
C300,331991,5070560,1
C301,349915,5083135,3.8
C302,356850,5076908,4
C303,368218,5082478,6.6
C304,382973,5073325,4.8
C305,370379,5049553,0.6
C306,410936,5053543,3.8
C307,329444,4981815,0.6
C308,393147,5077893,5.2
C309,387168,5052194,0.6
C310,348237,5053168,0
C311,406046,5030506,3.6
C312,428083,5057024,0.8
C313,433921,5125172,0.2
C314,384371,4916196,0
C315,435781,4898625,0
C316,333556,4979878,0
C317,394093,5004633,1.2
C318,323132,4988527,0.8
C319,412336,5000464,33
C320,391476,4906152,0
C321,418148,5046913,2.4
C322,381912,5041306,0
C323,395961,4919317,0.2
C324,499447,4959186,0
C325,484546,5029197,0
C326,461722,5075088,41
C327,439310,4947239,0
C328,335258,4981370,0
C329,319383,4992738,0
C330,382741,4914224,0
C331,396335,4971359,8
C332,408692,5066969,1.6
C333,356133,5056984,0
C334,363786,5056816,0
C335,410705,5078465,1.6
C336,411019,5060138,3.4
C337,397138,5051162,2.8
C338,383024,5060488,1.2
C339,438833,5118446,0.2
C340,392103,5060011,1.4
C341,396054,4992433,2.2
C342,370552,4973026,0
C343,417577,4913468,0
C344,407216,4903242,0
C345,395535,4996506,4.2
C346,381736,4902250,0
C347,375159,4905569,0
C348,349677,4907422,0
C349,381938,4993117,0
C350,416610,4904372,0
C351,399915,4907260,0
C352,333703,4931975,0.8
C353,339885,4949696,0
C354,360677,5018290,1.6
C355,507377,4946916,0
C356,368058,5034971,1
C357,356046,5013564,1.4
C358,480616,4939369,0
C359,338644,5009846,1
C360,456546,5069173,0.4
C361,454220,5080460,0
C362,462140,5066473,0
C363,324349,5000119,0
C364,376375,5032521,0.4
C365,465851,4959096,0
C366,463782,5089947,3.4
C367,371673,5010080,4.6
C368,421761,4915442,0
C369,399568,4947072,0
C370,362475,4949299,0
C371,471388,5032237,0
C372,436154,4974320,0
C373,416001,4985910,0
C374,372945,5049915,3.2
C375,368343,5058342,1.6
C376,381936,5055786,2
C377,398830,5070678,3.6
C378,447736,5066833,14.4
C379,387341,4890901,0
C380,416151,5089413,0.2
C381,353800,4951471,0
C382,400189,5080783,4.8
C383,483451,4943500,0
